"","Journal","Rank","Source","IF"
"12507","Journal of Software","B","ERA",NA
"12508","Journal of Software Engineering","C","ERA",NA
"12509","Journal of Software Maintenance and Evolution: research and practice","B","ERA",NA
"12510","Journal of Soil and Water Conservation","B","ERA",2.209
"12511","Journal of Soil Biology and Ecology","C","ERA",NA
"12512","Journal of Soils and Sediments: protection, risk assessment and remediation","C","ERA",NA
"12513","Journal of Solar Energy Engineering","C","ERA",NA
"12514","Journal of Sol-Gel Science and Technology","B","ERA",2.008
"12515","Journal of Solid State Chemistry","B","ERA",2.726
"12516","Journal of Solid State Electrochemistry","C","ERA",2.646
"12517","Journal of Solution Chemistry","C","ERA",1.273
"12518","Journal of Sound and Vibration","A+","ERA",3.429
"12519","Journal of South - East European Studies","B","ERA",NA
"12520","Journal of South American Earth Sciences","B","ERA",1.704
"12521","Journal of South Asia Women Studies","B","ERA",NA
"12522","Journal of South Asian Development","C","ERA",0.538
"12523","Journal of South Pacific Law","C","ERA",NA
"12524","Journal of Southeast Asian Education","C","ERA",NA
"12525","Journal of Southeast Asian Studies","B","ERA",0.273
"12526","Journal of Southern African Studies","A","ERA",0.882
"12527","Journal of Southern History","A","ERA",NA
"12528","Journal of Southwest Jiaotong University","C","ERA",NA
"12529","Journal of Space Law","C","ERA",NA
"12530","Journal of Spacecraft and Rockets","B","ERA",1.36
"12531","Journal of Spanish Cultural Studies","A","ERA",0.093
"12532","Journal of Spatial Science","B","ERA",1.405
"12533","Journal of Special Education","A","ERA",1.732
"12534","Journal of Special Education Technology","C","ERA",NA
"12535","Journal of Specialised Translation","C","ERA",0.792
"12536","Journal of Speculative Philosophy: a quarterly journal of history, criticism, and imagination","B","ERA",NA
"12537","Journal of Speech, Language, and Hearing Research","B","ERA",NA
"12538","Journal of Spinal Disorders and Techniques","B","ERA",NA
"12539","Journal of Spirituality in Addiction and Recovery","C","ERA",NA
"12540","Journal of Spirituality in Mental Health","A","ERA",NA
"12541","Journal of Sponsorship","C","ERA",NA
"12542","Journal of Sport and Exercise Psychology","B","ERA",2.239
"12543","Journal of Sport and Exercise Psychology","B","ERA",2.239
"12544","Journal of Sport and Social Issues","B","ERA",1.939
"12545","Journal of Sport Behavior","C","ERA",NA
"12546","Journal of Sport History","C","ERA",NA
"12547","Journal of Sport Management","A","ERA",2.359
"12548","Journal of Sport Management","A","ERA",2.359
"12549","Journal of Sport Rehabilitation","C","ERA",1.65
"12550","Journal of Sport Tourism","C","ERA",NA
"12551","Journal of Sports Administration and Supervision","C","ERA",NA
"12552","Journal of Sports Economics","B","ERA",1.615
"12553","Journal of Sports Law and Contemporary Problems","C","ERA",NA
"12554","Journal of Sports Media","C","ERA",NA
"12555","Journal of Sports Science and Medicine","C","ERA",1.806
"12556","Journal of Sports Sciences","B","ERA",2.597
"12557","Journal of State Taxation","C","ERA",NA
"12558","Journal of Statistical Computation and Simulation","C","ERA",0.918
"12559","Journal of Statistical Mechanics: Theory and Experiment","A","ERA",NA
"12560","Journal of Statistical Physics","A","ERA",1.243
"12561","Journal of Statistical Planning and Inference","A","ERA",0.679
"12562","Journal of Statistical Research","C","ERA",NA
"12563","Journal of Statistical Software","C","ERA",13.642
"12564","Journal of Statistical Studies","C","ERA",NA
"12565","Journal of Statistical Theory and Applications","C","ERA",NA
"12566","Journal of Statistical Theory and Practice","B","ERA",NA
"12567","Journal of Statistics and Applications","C","ERA",NA
"12568","Journal of Statistics and Management Systems","C","ERA",NA
"12569","Journal of Statistics Education","B","ERA",NA
"12570","Journal of Stored Products Research","B","ERA",2.123
"12571","Journal of Strain Analysis for Engineering Design","A","ERA",1.63
"12572","Journal of Strategic Management Education","B","ERA",NA
"12573","Journal of Strategic Marketing","B","ERA",NA
"12574","Journal of Strategic Studies","B","ERA",1.816
"12575","Journal of Strength and Conditioning Research","C","ERA",2.973
"12576","Journal of Stroke and Cerebrovascular Diseases","C","ERA",1.787
"12577","Journal of Structural and Functional Genomics","C","ERA",NA
"12578","Journal of Structural Biology","B","ERA",3.071
"12579","Journal of Structural Chemistry","C","ERA",0.745
"12580","Journal of Structural Engineering","A+","ERA",2.454
"12581","Journal of Structural Geology","A","ERA",2.836
"12582","Journal of Student Wellbeing","C","ERA",NA
"12583","Journal of Studies in International Education","B","ERA",2.148
"12584","Journal of Studies on Alcohol and Drugs","A","ERA",2.448
"12585","Journal of Studies on Alcohol and Drugs","A","ERA",2.448
"12586","Journal of Substance Abuse Treatment","A","ERA",3.083
"12587","Journal of Substance Use: for nursing, health and social care","C","ERA",NA
"12588","Journal of Sung-Yuan Studies","B","ERA",NA
"12589","Journal of Supercomputing","B","ERA",2.469
"12590","Journal of Superconductivity and Novel Magnetism","C","ERA",1.244
"12591","Journal of Supercritical Fluids","B","ERA",3.744
"12592","Journal of Supply Chain Management: a global review of purchasing and supply","B","ERA",NA
"12593","Journal of Supreme Court History","C","ERA",NA
"12594","Journal of Surgical Oncology","B","ERA",2.771
"12595","Journal of Surgical Research","B","ERA",1.841
"12596","Journal of Surveying Engineering","C","ERA",1.986
"12597","Journal of Sustainable Agriculture: innovations for the long-term and lasting maintenance and
enhancement of agricultural resources, production and environmental quality","B","ERA",NA
"12598","Journal of Sustainable Forestry","B","ERA",1.272
"12599","Journal of Sustainable Tourism","A","ERA",3.986
"12600","Journal of Swimming Research","C","ERA",NA
"12601","Journal of Swine Health and Production","C","ERA",1.538
"12602","Journal of Symbolic Computation","A","ERA",0.673
"12603","Journal of Symplectic Geometry","A","ERA",0.657
"12604","Journal of Synchrotron Radiation","A","ERA",2.251
"12605","Journal of Synthetic Lubrication: research, development and application of synthetic lubricants
and functional fluids","C","ERA",NA
"12606","Journal of Synthetic Organic Chemistry (English)","C","ERA",NA
"12607","Journal of System Design and Dynamics","A","ERA",NA
"12608","Journal of Systematic Palaeontology","B","ERA",2.833
"12609","Journal of Systematics and Evolution","B","ERA",2.779
"12610","Journal of Systemics, Cybernetics and Informatics","C","ERA",NA
"12611","Journal of Systems and Information Technology","C","ERA",NA
"12612","Journal of Systems and Software","A","ERA",2.45
"12613","Journal of Systems Architecture","B","ERA",2.552
"12614","Journal of Systems Science and Complexity","C","ERA",0.926
"12615","Journal of Systems Science and Systems Engineering","C","ERA",1.28
"12616","Journal of Taphonomy","C","ERA",NA
"12617","Journal of Targeting, Measurement and Analysis for Marketing","C","ERA",NA
"12618","Journal of Taxation of Investments","C","ERA",NA
"12619","Journal of Taxation: a national journal of current developments, analysis, and commentary for tax
professionals","B","ERA",NA
"12620","Journal of Tea Science","C","ERA",NA
"12621","Journal of Teacher Education: the journal of policy, practice, and research in teacher education","A","ERA",NA
"12622","Journal of Teaching in International Business","C","ERA",NA
"12623","Journal of Teaching in Physical Education","A","ERA",1.845
"12624","Journal of Teaching in Physical Education","A","ERA",1.845
"12625","Journal of Teaching in Social Work: innovations in instruction, training and educational practice","B","ERA",NA
"12626","Journal of Teaching in the Addictions","C","ERA",NA
"12627","Journal of Teaching in Travel and Tourism: the professional journal of the international society of
travel and tourism educators","C","ERA",NA
"12628","Journal of Technical Writing and Communication","C","ERA",NA
"12629","Journal of Technology and Teacher Education","B","ERA",NA
"12630","Journal of Technology Education","B","ERA",NA
"12631","Journal of Technology in Counseling","C","ERA",NA
"12632","Journal of Technology Law and Policy","C","ERA",NA
"12633","Journal of Technology Management and Innovation","C","ERA",NA
"12634","Journal of Technology Management in China","C","ERA",NA
"12635","Journal of Technology Transfer","C","ERA",4.147
"12636","Journal of Telecommunications and Information Technology","C","ERA",NA
"12637","Journal of Telemedicine and Telecare","B","ERA",2.616
"12638","Journal of Terramechanics","C","ERA",2.043
"12639","Journal of Testing and Evaluation","C","ERA",0.877
"12640","Journal of Texture Studies","B","ERA",1.902
"12641","Journal of the Academy of Marketing Science","A+","ERA",7.959
"12642","Journal of the ACM","A+","ERA",1.686
"12643","Journal of the Acoustical Society of America","A+","ERA",1.78
"12644","Journal of the Aichi Medical University Association","C","ERA",NA
"12645","Journal of the Air and Waste Management Association","C","ERA",2.245
"12646","Journal of the American Academy of Audiology","C","ERA",1.657
"12647","Journal of the American Academy of Business, Cambridge","C","ERA",NA
"12648","Journal of the American Academy of Child and Adolescent Psychiatry","A","ERA",6.936
"12649","Journal of the American Academy of Child and Adolescent Psychiatry","A","ERA",6.936
"12650","Journal of the American Academy of Dermatology","B","ERA",8.277
"12651","Journal of the American Academy of Nurse Practitioners","B","ERA",NA
"12652","Journal of the American Academy of Orthopaedic Surgeons","C","ERA",2.286
"12653","Journal of the American Academy of Psychiatry and the Law","C","ERA",1.191
"12654","Journal of the American Academy of Psychoanalysis and Dynamic Psychiatry","B","ERA",NA
"12655","Journal of the American Academy of Religion","A","ERA",NA
"12656","Journal of the American Association for Laboratory Animals","C","ERA",NA
"12657","Journal of the American Board of Family Medicine","C","ERA",2.661
"12658","Journal of the American Ceramic Society","A+","ERA",3.502
"12659","Journal of the American Chemical Society","A+","ERA",14.612
"12660","Journal of the American College of Cardiology","A+","ERA",20.589
"12661","Journal of the American College of Dentists","C","ERA",NA
"12662","Journal of the American College of Nutrition","B","ERA",2.297
"12663","Journal of the American College of Surgeons","B","ERA",4.59
"12664","Journal of the American Dental Association","A","ERA",2.803
"12665","Journal of the American Dietetic Association","A","ERA",NA
"12666","Journal of the American Geriatrics Society","A","ERA",4.18
"12667","Journal of the American Geriatrics Society","A","ERA",4.18
"12668","Journal of the American Helicopter Society","C","ERA",0.831
"12669","Journal of the American Institute for Conservation of Historic and Artistic Works","C","ERA",NA
"12670","Journal of the American Liszt Society","B","ERA",NA
"12671","Journal of the American Mathematical Society","A+","ERA",5.413
"12672","Journal of the American Medical Informatics Association","B","ERA",4.112
"12673","Journal of the American Medical Informatics Association","B","ERA",4.112
"12674","Journal of the American Musical Instrument Society","C","ERA",NA
"12675","Journal of the American Musicological Society","A+","ERA",NA
"12676","Journal of the American Oriental Society","A+","ERA",NA
"12677","Journal of the American Pharmacists Association","B","ERA",2.772
"12678","Journal of the American Planning Association","A+","ERA",4.711
"12679","Journal of the American Podiatric Medical Association","C","ERA",0.649
"12680","Journal of the American Pomological Society","C","ERA",0.6
"12681","Journal of the American Psychiatric Nurses Association","C","ERA",1.652
"12682","Journal of the American Psychiatric Nurses Association","C","ERA",1.652
"12683","Journal of the American Psychoanalytic Association","B","ERA",1.044
"12684","Journal of the American Research Center in Egypt.","B","ERA",NA
"12685","Journal of the American Society for Horticultural Science","A","ERA",0.952
"12686","Journal of the American Society for Information Science and Technology","A+","ERA",NA
"12687","Journal of the American Society for Psychical Research","C","ERA",NA
"12688","Journal of the American Society for Surgery of the Hand","C","ERA",NA
"12689","Journal of the American Society of Brewing Chemists","C","ERA",1.16
"12690","Journal of the American Society of Echocardiography","B","ERA",5.508
"12691","Journal of the American Society of Nephrology","B","ERA",9.274
"12692","Journal of the American Society of Questioned Document Examiners","C","ERA",NA
"12693","Journal of the American Statistical Association","A+","ERA",3.989
"12694","Journal of the American Taxation Association","B","ERA",NA
"12695","Journal of the American Viola Society","C","ERA",NA
"12696","Journal of the American Water Resources Association","C","ERA",2.472
"12697","Journal of the American Water Works Association","B","ERA",NA
"12698","Journal of the Ancient Near Eastern Society","A","ERA",NA
"12699","Journal of the Arab Neonatal Forum","C","ERA",NA
"12700","Journal of the Arkansas Academy of Science","C","ERA",NA
"12701","Journal of the Arkansas Medical Society","C","ERA",NA
"12702","Journal of the Asia Pacific Economy","A","ERA",0.877
"12703","Journal of the Asia-Pacific Centre for Environmental Accountability","C","ERA",NA
"12704","Journal of the Asiatic Society of Bombay","C","ERA",NA
"12705","Journal of the Assam Science Society","C","ERA",NA
"12706","Journal of the Association for Laboratory Automation","B","ERA",NA
"12707","Journal of the Association for Research on Mothering","C","ERA",NA
"12708","Journal of the Association for the Study of Australian Literature","B","ERA",NA
"12709","Journal of the Association of Information Systems","A","ERA",NA
"12710","Journal of the Association of Legal Writing Directors","C","ERA",NA
"12711","Journal of the Association of Nurses in AIDS Care","A+","ERA",NA
"12712","Journal of the Atmospheric Sciences","A","ERA",3.194
"12713","Journal of the Austalasian College of Road Safety","C","ERA",NA
"12714","Journal of the Australasian Ceramic Society","C","ERA",NA
"12715","Journal of the Australasian Society of Aerospace Medicine","C","ERA",NA
"12716","Journal of the Australasian Tax Teachers Association","B","ERA",NA
"12717","Journal of the Australian Early Medieval Association.","B","ERA",NA
"12718","Journal of the Australian Mathematical Society","B","ERA",0.742
"12719","Journal of the Australian Traditional-Medicine Society","C","ERA",NA
"12720","Journal of the Bangladesh Academy of Sciences","C","ERA",NA
"12721","Journal of the Barbados Museum and Historical Society","C","ERA",NA
"12722","Journal of the Beijing University (Philosophy and Social Science Edition)","B","ERA",NA
"12723","Journal of the Brazilian Chemical Society","C","ERA",1.399
"12724","Journal of the Brazilian Computer Society","C","ERA",NA
"12725","Journal of the British Archaeological Association","C","ERA",NA
"12726","Journal of the British Society for Phenomenology","A","ERA",NA
"12727","Journal of the Canadian Chiropractic Association","C","ERA",NA
"12728","Journal of the Center for Families, Children and the Courts","C","ERA",NA
"12729","Journal of the Centre for Buddhist Studies Sri Lanka","C","ERA",NA
"12730","Journal of the Ceramic Society of Japan","C","ERA",1.067
"12731","Journal of the Chilean Chemical Society","C","ERA",0.617
"12732","Journal of the Chinese Chemical Society","C","ERA",1.554
"12733","Journal of the Civil Engineering Division of the Institution of Engineers India","C","ERA",NA
"12734","Journal of the Cork Historical and Archaeological Society","C","ERA",NA
"12735","Journal of the Danish Medical Association","C","ERA",NA
"12736","Journal of the Early Book Society: for the study of manuscripts and printing history","A","ERA",NA
"12737","Journal of the Early Republic","A","ERA",NA
"12738","Journal of the Eastern Asia Society for Transportation Studies","C","ERA",NA
"12739","Journal of the Economic and Social History of the Orient","B","ERA",0.2
"12740","Journal of the Energy Institute","B","ERA",4.748
"12741","Journal of the European Academy of Dermatology and Venereology","C","ERA",5.248
"12742","Journal of the European Ceramic Society","A","ERA",4.495
"12743","Journal of the European Economic Association","A","ERA",3.388
"12744","Journal of the European Mathematical Society","A+","ERA",2.19
"12745","Journal of the European Pentecostal Theological Association","C","ERA",NA
"12746","Journal of the European Society of Women in Theological Research","C","ERA",NA
"12747","Journal of the Evangelical Theological Society","C","ERA",NA
"12748","Journal of the Experimental Analysis of Behavior","B","ERA",NA
"12749","Journal of the Faculty of Pharmacy of Gazi University","C","ERA",NA
"12750","Journal of the Fantastic in the Arts","C","ERA",NA
"12751","Journal of the First-Year Experience and Students in Transition","C","ERA",NA
"12752","Journal of the Formosan Medical Association","C","ERA",3.008
"12753","Journal of the Franklin Institute","B","ERA",NA
"12754","Journal of the Geological Society of India","C","ERA",0.899
"12755","Journal of the Geological Society of Japan","C","ERA",NA
"12756","Journal of the German Association für Foreign Language Research","C","ERA",NA
"12757","Journal of the Ghana Science Association","C","ERA",NA
"12758","Journal of the Gilded Age and Progressive Era","B","ERA",0.111
"12759","Journal of the Greater Houston Dental Society","C","ERA",NA
"12760","Journal of the Harbin Institute of Technology","C","ERA",NA
"12761","Journal of the Hebei Medical University","C","ERA",NA
"12762","Journal of the Hellenic Diaspora: critical thoughts on Greek and world issues","B","ERA",NA
"12763","Journal of the Historical Society","A","ERA",NA
"12764","Journal of the Historical Society of South Australia","C","ERA",NA
"12765","Journal of the History of Biology","A","ERA",0.864
"12766","Journal of the History of Biology","A","ERA",0.864
"12767","Journal of the History of Childhood and Youth","B","ERA",NA
"12768","Journal of the History of Collections","B","ERA",NA
"12769","Journal of the History of Dentistry","C","ERA",NA
"12770","Journal of the History of Economic Thought","A","ERA",0.735
"12771","Journal of the History of Ideas: an international quarterly devoted to intellectual history","A","ERA",NA
"12772","Journal of the History of International Law","C","ERA",NA
"12773","Journal of the History of Medicine and Allied Sciences","B","ERA",0.806
"12774","Journal of the History of Medicine and Allied Sciences","B","ERA",0.806
"12775","Journal of the History of Philosophy","A+","ERA",NA
"12776","Journal of the History of Sexuality","A+","ERA",0.75
"12777","Journal of the History of the Behavorial Sciences","B","ERA",NA
"12778","Journal of the History of the Neurosciences: basic and clinical perspectives","C","ERA",NA
"12779","Journal of the Home Economics Institute of Australia.","C","ERA",NA
"12780","Journal of the Human-Environment System","C","ERA",NA
"12781","Journal of the Humanities and Social Sciences of Southeast Asia and Oceania","A+","ERA",NA
"12782","Journal of the Idaho Academy of Science","C","ERA",NA
"12783","Journal of the Indian Institute of Science Section B: Physical and Chemical Sciences","C","ERA",NA
"12784","Journal of the Indian Medical Association","C","ERA",NA
"12785","Journal of the Indian Musicological Society","B","ERA",NA
"12786","Journal of The Indonesian Mathematical Society","C","ERA",NA
"12787","Journal of the Inner Mongolia University","B","ERA",NA
"12788","Journal of the Institute of Asian Studies","A","ERA",NA
"12789","Journal of the Institute of Brewing","C","ERA",1.504
"12790","Journal of the Institute of Mathematics of Jussieu","A","ERA",1.254
"12791","Journal of the Institution of Engineers (India) Chemical Engineering Division","C","ERA",NA
"12792","Journal of the Institution of Engineers, Bangladesh","C","ERA",NA
"12793","Journal of the International Academy of Hospitality Research","C","ERA",NA
"12794","Journal of the International Academy of Periodontology","C","ERA",NA
"12795","Journal of the International AIDS Society","C","ERA",5.553
"12796","Journal of the International Association for Shell and Spatial Structures","A","ERA",NA
"12797","Journal of the International Association of Buddhist Studies","A+","ERA",NA
"12798","Journal of the International Association of Tibetan Studies","B","ERA",NA
"12799","Journal of the International College for Postgraduate Buddhist Studies","C","ERA",NA
"12800","Journal of the International Neuropsychological Society","A","ERA",2.576
"12801","Journal of the International Phonetic Association","A+","ERA",0.605
"12802","Journal of the International Society of Sports Nutrition","B","ERA",5.068
"12803","Journal of the Iowa Academy of Science","C","ERA",NA
"12804","Journal of the Iranian Chemical Society","B","ERA",1.552
"12805","Journal of the Italian Astronomical Society","C","ERA",NA
"12806","Journal of the Italian Psychoanalytical Society","C","ERA",NA
"12807","Journal of the Japan Association for Philosophy of Science","C","ERA",NA
"12808","Journal of the Japan Institute of Metals","B","ERA",NA
"12809","Journal of the Japan Statistical Society","C","ERA",NA
"12810","Journal of the Japanese and International Economies","A","ERA",0.909
"12811","Journal of the Japanese Physical Therapy Association","C","ERA",NA
"12812","Journal of the Japanese Society of Computational Statistics","C","ERA",NA
"12813","Journal of the Kafka Society of America","B","ERA",NA
"12814","Journal of the Kentucky Academy of Science","C","ERA",NA
"12815","Journal of the Kentucky Medical Association","C","ERA",NA
"12816","Journal of the Korean Economy","C","ERA",NA
"12817","Journal of the Korean Physical Society","C","ERA",0.535
"12818","Journal of the Korean Society for Clinical Pharmacology and Therapeutics.","C","ERA",NA
"12819","Journal of the Korean Society for Industrial and Applied Mathematics","C","ERA",NA
"12820","Journal of the Korean Statistical Society","C","ERA",0.556
"12821","Journal of the Learning Sciences","B","ERA",3.588
"12822","Journal of the Louisiana State Medical Society","C","ERA",NA
"12823","Journal of the Mass Spectrometry Society of Japan","C","ERA",NA
"12824","Journal of the Mechanics and Physics of Solids","A+","ERA",5
"12825","Journal of the Medical Library Association","B","ERA",2.042
"12826","Journal of the Meteorological Society of Japan","B","ERA",1.976
"12827","Journal of the Midwest Modern Language Association","A","ERA",NA
"12828","Journal of the Mine Ventilation Society of South Africa","C","ERA",NA
"12829","Journal of the Minnesota Academy of Science","C","ERA",NA
"12830","Journal of the Mississippi State Medical Association","C","ERA",NA
"12831","Journal of the Musicological Society of Japan","B","ERA",NA
"12832","Journal of the Nagoya City University Medical Association","C","ERA",NA
"12833","Journal of the Nanjing University (Philosophy, Humanities and Social Sciences)","C","ERA",NA
"12834","Journal of the National Association of Administrative Law Judiciary","C","ERA",NA
"12835","Journal of the National Cancer Institute","A+","ERA",NA
"12836","Journal of the National Cancer Institute Monographs","C","ERA",NA
"12837","Journal of the National Medical Association","C","ERA",1.03
"12838","Journal of the Neurological Sciences","B","ERA",3.115
"12839","Journal of the New Zealand College of Midwives","B","ERA",NA
"12840","Journal of the Nihon University Medical Association","C","ERA",NA
"12841","Journal of the North American Benthological Society","A","ERA",NA
"12842","Journal of the North Carolina Academy of Science","C","ERA",NA
"12843","Journal of the Ocean University of Qingdao","C","ERA",NA
"12844","Journal of the Operational Research Society","A","ERA",2.175
"12845","Journal of the Operational Research Society","A","ERA",2.175
"12846","Journal of the Operations Research Society of Japan","C","ERA",NA
"12847","Journal of the Oriental Society of Australia","B","ERA",NA
"12848","Journal of the Osaka Medical College","C","ERA",NA
"12849","Journal of the Pacific Society","C","ERA",NA
"12850","Journal of the Pakistan Dental Association","C","ERA",NA
"12851","Journal of the Pali Text Society","A","ERA",NA
"12852","Journal of the Pancreas","C","ERA",NA
"12853","Journal of the Patent and Trademark Office Society","C","ERA",NA
"12854","Journal of the Peripheral Nervous System","C","ERA",2.466
"12855","Journal of the Pharmaceutical Society of Japan","C","ERA",NA
"12856","Journal of the Pharmaceutical Society of Korea","C","ERA",NA
"12857","Journal of the Philosophy of Sport","C","ERA",0.867
"12858","Journal of the Physical Society of Japan","B","ERA",1.579
"12859","Journal of the Renin-Angiotensin-Aldosterone System","B","ERA",1.417
"12860","Journal of the Rocky Mountain Mineral Law Foundation","C","ERA",NA
"12861","Journal of the Royal Anthropological Institute","A","ERA",1.238
"12862","Journal of the Royal Asiatic Society","A+","ERA",NA
"12863","Journal of the Royal Asiatic Society. Malaysian Branch","C","ERA",NA
"12864","Journal of the Royal Australian Historical Society","C","ERA",NA
"12865","Journal of the Royal Musical Association","A+","ERA",NA
"12866","Journal of the Royal Society Interface","A","ERA",3.748
"12867","Journal of the Royal Society of Antiquaries of Ireland","C","ERA",NA
"12868","Journal of the Royal Society of Medicine","C","ERA",5.238
"12869","Journal of the Royal Society of New Zealand","C","ERA",0.862
"12870","Journal of the Royal Society of Western Australia","C","ERA",NA
"12871","Journal of the Royal Statistical Society Series A: Statistics in Society","A+","ERA",NA
"12872","Journal of the Royal Statistical Society Series B: Statistical Methodology","A+","ERA",NA
"12873","Journal of the Royal Statistical Society Series C: Applied Statistics","A","ERA",NA
"12874","Journal of the Royal Statistical Society Series D: The Statistician","B","ERA",NA
"12875","Journal of the Scholarship of Teaching and Learning","B","ERA",NA
"12876","Journal of the Science of Food and Agriculture","A","ERA",2.614
"12877","Journal of the Serbian Chemical Society","C","ERA",1.097
"12878","Journal of the Shanxi Normal University (Philosophy and Social Sciences Edition)","C","ERA",NA
"12879","Journal of the Shenyang Pharmaceutical University","C","ERA",NA
"12880","Journal of the Societe des Oceanistes","B","ERA",NA
"12881","Journal of the Society for American Music","C","ERA",NA
"12882","Journal of the Society for Musicology in Ireland","C","ERA",NA
"12883","Journal of the Society for Psychical Research","C","ERA",NA
"12884","Journal of the Society of Architectural Historians","A+","ERA",NA
"12885","Journal of the Society of Architectural Historians of Japan","B","ERA",NA
"12886","Journal of the Society of Archivists","A","ERA",NA
"12887","Journal of the Society of Christian Ethics","B","ERA",NA
"12888","Journal of the Soil Science Society of America","A","ERA",NA
"12889","Journal of the South African Institute of Mining and Metallurgy","C","ERA",NA
"12890","Journal of the South Carolina Medical Association","C","ERA",NA
"12891","Journal of the South Carolina Science Academy","C","ERA",NA
"12892","Journal of the Southwest","C","ERA",NA
"12893","Journal of the Southwest Philosophy Review","C","ERA",NA
"12894","Journal of the Spirituality Leadership and Management Network Limited","B","ERA",NA
"12895","Journal of the Statistical and Social Inquiry Society of Ireland","C","ERA",NA
"12896","Journal of the Taiwan Institute of Chemical Engineers","B","ERA",4.794
"12897","Journal of the Technical University at Plovdiv Fundamental Sciences and Applications Series A Pure
Applied Mathematics","C","ERA",NA
"12898","Journal of the Tennessee Academy of Science","C","ERA",NA
"12899","Journal of the Textile Institute","A+","ERA",1.239
"12900","Journal of the Tianjin University","C","ERA",NA
"12901","Journal of the Toho University Medical Society","C","ERA",NA
"12902","Journal of the Tokyo Women's Medical University","C","ERA",NA
"12903","Journal of the Transportation Research Forum","C","ERA",NA
"12904","Journal of the UK Association of Christian Economists","C","ERA",NA
"12905","Journal of the Viola da Gamba Society of America","C","ERA",NA
"12906","Journal of the Virtual Explorer","C","ERA",NA
"12907","Journal of the Walters Art Gallery","B","ERA",NA
"12908","Journal of the Warburg and Courtauld Institutes","A","ERA",NA
"12909","Journal of the Washington Academy of Sciences","C","ERA",NA
"12910","Journal of the West: an illustrated quarterly of Western American history and culture","C","ERA",NA
"12911","Journal of the World Aquaculture Society","C","ERA",1.451
"12912","Journal of the World Indigenous Nations Higher Education Consortium","C","ERA",NA
"12913","Journal of theAustralian Catholic Historical Society.","C","ERA",NA
"12914","Journal of Theological Interpretation","A","ERA",NA
"12915","Journal of Theological Studies","A+","ERA",NA
"12916","Journal of Theoretical and Applied Electronic Commerce Research","C","ERA",1.906
"12917","Journal of Theoretical and Applied Information Technology","C","ERA",NA
"12918","Journal of Theoretical and Computational Chemistry","C","ERA",0.848
"12919","Journal of Theoretical and Philosophical Psychology","C","ERA",NA
"12920","Journal of Theoretical Biology","A+","ERA",2.327
"12921","Journal of Theoretical Politics","A","ERA",0.93
"12922","Journal of Theoretical Probability","B","ERA",0.682
"12923","Journal of Therapeutic Horticulture","C","ERA",NA
"12924","Journal of Thermal Analysis and Calorimetry: an international forum for thermal studies","C","ERA",NA
"12925","Journal of Thermal Biology","C","ERA",2.361
"12926","Journal of Thermal Spray Technology","C","ERA",2.522
"12927","Journal of Thermal Stresses","B","ERA",2.626
"12928","Journal of Thermophysics and Heat Transfer","B","ERA",1.307
"12929","Journal of Thermoplastic Composite Materials","C","ERA",1.529
"12930","Journal of Thoracic and Cardiovascular Surgery","A","ERA",4.451
"12931","Journal of Thoracic Oncology: official scientific publication of the International Association for the
Study of Lung Cancer","C","ERA",NA
"12932","Journal of Thought","C","ERA",NA
"12933","Journal of Thrombosis and Haemostasis","A+","ERA",4.157
"12934","Journal of Thrombosis and Thrombolysis","C","ERA",2.054
"12935","Journal of Time Series Analysis","A","ERA",0.817
"12936","Journal of Tissue Engineering and Regenerative Medicine","B","ERA",3.078
"12937","Journal of Tort Law","B","ERA",NA
"12938","Journal of Tourism and Cultural Change","B","ERA",1.327
"12939","Journal of Tourism Studies","A","ERA",NA
"12940","Journal of Toxicology and Environmental Health Part A","B","ERA",NA
"12941","Journal of Toxicology and Environmental Health Part B: Critical Reviews","C","ERA",NA
"12942","Journal of Trace Elements in Medicine and Biology","C","ERA",3.245
"12943","Journal of Traditional Chinese Medicine","C","ERA",0.676
"12944","Journal of Traditional Medicines","C","ERA",NA
"12945","Journal of Transcultural Nursing","A+","ERA",1.441
"12946","Journal of Transcultural Nursing","A+","ERA",1.441
"12947","Journal of Transformative Education","A","ERA",NA
"12948","Journal of Translation Studies","B","ERA",NA
"12949","Journal of Transnational Law and Policy","B","ERA",NA
"12950","Journal of Transnational Management","C","ERA",NA
"12951","Journal of Transpersonal Psychology","C","ERA",NA
"12952","Journal of Transport Economics and Policy","A","ERA",0.919
"12953","Journal of Transport Geography","B","ERA",3.834
"12954","Journal of Transport History","B","ERA",NA
"12955","Journal of Transportation and Statistics","C","ERA",NA
"12956","Journal of Transportation Engineering","B","ERA",NA
"12957","Journal of Transportation Law, Logistics and Policy","C","ERA",NA
"12958","Journal of Transportation System Engineering and Information Technology","C","ERA",NA
"12959","Journal of Trauma and Dissociation","B","ERA",1.859
"12960","Journal of Trauma Management and Outcomes","C","ERA",NA
"12961","Journal of Trauma Nursing","C","ERA",0.875
"12962","Journal of Trauma Nursing","C","ERA",0.875
"12963","Journal of Trauma: Injury Infection and Critical Care","B","ERA",NA
"12964","Journal of Traumatic Stress","A","ERA",1.926
"12965","Journal of Travel and Tourism Marketing","A","ERA",4.097
"12966","Journal of Travel and Tourism Research","C","ERA",NA
"12967","Journal of Travel Medicine","C","ERA",7.089
"12968","Journal of Travel Research","A+","ERA",7.027
"12969","Journal of Tribology-Transactions of the ASME","B","ERA",1.829
